feature,importance
BB/TB_51/173,0.0
BB/TB_51/174,0.0
BB/TB_51/176,0.0
BB/TB_52/146,0.0
BB/TB_52/152,0.0
BB/TB_52/154,0.0
BB/TB_52/163,0.0
BB/TB_52/171,0.0
BB/TB_51/168,0.0
BB/TB_96/158,0.0
BB/TB_96/172,0.0
BB/TB_96/181,0.0
BB/TB_96/185,0.0
BB/TB_97/151,0.0
BB/TB_97/153,0.0
BB/TB_95/178,0.0
BB/TB_91/178,0.0
BB/TB_78/165,0.0
BB/TB_92/150,0.0
BB/TB_92/156,0.0
BB/TB_93/147,0.0
BB/TB_93/153,0.0
BB/TB_93/164,0.0
BB/TB_93/180,0.0
BB/TB_47/147,0.0
BB/TB_47/163,0.0
BB/TB_92/147,0.0
BB/TB_95/175,0.0
BB/TB_46/171,0.0
BB/TB_46/185,0.0
BB/TB_47/145,0.0
BB/TB_94/147,0.0
BB/TB_94/150,0.0
BB/TB_94/169,0.0
BB/TB_94/171,0.0
BB/TB_96/146,0.0
BB/TB_94/183,0.0
BB/TB_94/186,0.0
BB/TB_95/152,0.0
BB/TB_95/166,0.0
BB/TB_98/156,0.0
BB/TB_97/187,0.0
BB/TB_45/149,0.0
BB/TB_45/155,0.0
BB/TB_95/186,0.0
BB/TB_94/179,0.0
BB/TB_49/152,0.0
BB/TB_49/163,0.0
BB/TB_49/165,0.0
BB/TB_49/184,0.0
BB/TB_49/187,0.0
BB/TB_50/151,0.0
BB/TB_50/155,0.0
BB/TB_50/175,0.0
BB/TB_47/167,0.0
BB/TB_88/178,0.0
BB/TB_88/186,0.0
BB/TB_89/146,0.0
BB/TB_89/147,0.0
BB/TB_89/151,0.0
BB/TB_89/156,0.0
BB/TB_89/166,0.0
BB/TB_89/187,0.0
BB/TB_89/189,0.0
BB/TB_50/176,0.0
BB/TB_48/145,0.0
BB/TB_48/147,0.0
BB/TB_48/167,0.0
BB/TB_48/171,0.0
BB/TB_48/173,0.0
BB/TB_90/163,0.0
BB/TB_90/164,0.0
BB/TB_90/172,0.0
BB/TB_49/151,0.0
BB/TB_90/180,0.0
BB/TB_91/145,0.0
BB/TB_91/159,0.0
BB/TB_91/168,0.0
BB/TB_91/173,0.0
BB/TB_91/174,0.0
BB/TB_91/177,0.0
BB/TB_48/181,0.0
BB/TB_49/148,0.0
BB/TB_90/173,0.0
BB/TB_63/175,0.0
BB/TB_63/180,0.0
BB/TB_63/182,0.0
BB/TB_63/186,0.0
BB/TB_64/147,0.0
BB/TB_64/158,0.0
BB/TB_64/164,0.0
BB/TB_64/167,0.0
BB/TB_46/170,0.0
BB/TB_64/189,0.0
BB/TB_65/145,0.0
BB/TB_65/149,0.0
BB/TB_61/170,0.0
BB/TB_61/175,0.0
BB/TB_62/147,0.0
